"@timestamp","_id","_ignored","_index","_score",assetId,"assetId.keyword",assetName,assetType,cmdbStatus,csuId,csuName,customerId,customerName,enrichmentIssue,enrichmentStatus,"kafka.topic","kafka.topic.keyword",l1Support,l1SupportName,l2Support,l2SupportName,lastPresence,"log.file.path","log.file.path.keyword","monitoredBy.createdAt","monitoredBy.instance.instanceName","monitoredBy.instance.instanceName.keyword","monitoredBy.instance.platformName","monitoredBy.instance.platformName.keyword","monitoredBy.updatedAt","monitoredBy.updatedBy","monitoredBy.updatedBy.keyword","monitoredBy_0_instanceName","monitoredBy_0_instanceName.keyword","monitoredBy_0_platformName","monitoredBy_0_platformName.keyword",monitoringAllowed,networkZone,offer,organization
"Jul 6 2026 @ 10:00:16.440",XHg6Np8BJZ6TYHmtUUv5,"-","mib_ingest-2026.07.06","-",DO0017R0A2,DO0017R0A2,"FAA-MAZARS-XWBJN1-GATEWAY1",CSU,"4.Into service",DO0017R0A2,"FAA-MAZARS-XWBJN1-GATEWAY1",686677,MAZARS,"Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQPSM,"ESC OPS SD L1 Proactive Security Monitoring",ATQISE,"ESC OPS Sec L2 Supp MRU","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 21 2026 @ 15:13:59.237","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 12:00:06.295","denis.choulette@orange.com","denis.choulette@orange.com","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,Internet,"Flexible Applications Access",SECURITY
"Jul 6 2026 @ 10:00:16.440","M-c6Np8Bwq2LDG-7Qz1u","-","mib_ingest-2026.07.06","-",DF004R3044,DF004R3044,"fw-AVERY-MENTOR-INET1",Equipment,Operational,DO001J0ZC6,"MFWFN-AVERY-MENTOR-INET",694079,"AVERY DENNISON CORPORATION","Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQPSM,"ESC OPS SD L1 Proactive Security Monitoring",ATQISS,"ESC OPS Sec L2 Supp Global SOC (EUMA EG)","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 1 2026 @ 13:35:08.857","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 12:00:06.295",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,Internet,"MFW Fortinet NG",SECURITY
"Jul 6 2026 @ 10:00:16.440","NOc6Np8Bwq2LDG-7Qz1u","-","mib_ingest-2026.07.06","-",DF00453T71,DF00453T71,pcfraesxesa06MT,Equipment,Operational,DO00137GCE,"ESA-ESACLOUD-IaaS-Redundant",9765,ESRIN,"Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQIGD,"OCB CSD CSS-PHCI IND L1 TECH",ATQIGS,"OCB CSD CIS-PHCI IND L2 ZEST","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 1 2026 @ 13:35:08.857","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 12:00:06.295",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,"ESA_CPS","Private Cloud","PRIVATE AND HYBRID CLOUD INFRASTRUCTURE"
"Jul 6 2026 @ 10:00:16.440","Nec6Np8Bwq2LDG-7Qz1u","-","mib_ingest-2026.07.06","-",DF003W0R3B,DF003W0R3B,RNS01PWICAVBP03,Equipment,Operational,DO00110YDF,"PF-UHP/RAZ-VDR",683646,"ORANGE OCB SQWAD","Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQFLX,"OCB CSD CSS-FE EGY L1 SD",ATQIIA,"OCB CSD SQD GLO L2 CASA","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 1 2026 @ 13:35:08.857","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 12:00:06.295",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,"Cesson_Default","Cloud Infra Platform-SQD",SQUAD
"Jul 6 2026 @ 10:00:16.440","Nuc6Np8Bwq2LDG-7Qz1u","-","mib_ingest-2026.07.06","-",DF002B2Q46,DF002B2Q46,VQEVSAMUPENN03,Equipment,Operational,DO000WR4E5,"SAMU-MOS-NICE-PROD",679211,"ORANGE APPLICATIONS FOR BUSINESS","Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQGIS,"COCKPIT SECURISE",ATQIHF,"OCB CSD CIS-PHCI FRA L2 FR","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 1 2026 @ 13:35:08.857","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 12:00:06.295",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,"uhp_rue","Private Cloud","PRIVATE AND HYBRID CLOUD INFRASTRUCTURE"
"Jul 6 2026 @ 10:00:16.440","N-c6Np8Bwq2LDG-7Qz1u","-","mib_ingest-2026.07.06","-",DF004L9T64,DF004L9T64,"bva07-paybox-ffg10-back_fw1b",Equipment,Operational,DO001KHZC3,"PF-PBX-BVA-SEC",5363391,"VERIFONE SYSTEMS FRANCE SAS","Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQGIS,"COCKPIT SECURISE",ATQIRS,"OCB CSD CIS-WLS FRA L3","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 1 2026 @ 13:35:08.857","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 12:00:06.295",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,"casa_v2_vdr","Private Cloud","PRIVATE AND HYBRID CLOUD INFRASTRUCTURE"
"Jul 6 2026 @ 10:00:16.439",W3g6Np8BJZ6TYHmtUUv5,"-","mib_ingest-2026.07.06","-",DF003PDN36,DF003PDN36,"sw-AAI-KOLKATA-INTRA1",Equipment,Operational,DO0012BHC4,"MFWFN-AAI-KOLKATA-IPVPN",58488,"AIRPORTS AUTHORITY OF INDIA","Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQPSM,"ESC OPS SD L1 Proactive Security Monitoring",ATQISS,"ESC OPS Sec L2 Supp Global SOC (APA)","Jul 6 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0700.json","/tmp/mib_ingest/mib_ingest-20260706_0700.json","Apr 1 2026 @ 13:35:08.857","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 11:55:09.545",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,Internet,"MFW Fortinet NG",SECURITY
"Jul 6 2026 @ 09:01:17.512",xHgENp8BJZ6TYHmtUUqZ,"-","mib_ingest-2026.07.06","-",DF004Z8N09,DF004Z8N09,v000m17vprnx01,Equipment,"Production in progress",DO0021KBC4,"CAV-VCoD-M TARGET-OCB0008051",00649636,"M TARGET","Events from this asset will be not shown to L1 Team due to his status in CMDB (Production in progress), you should review it",WARNING,"casa_mon_mib","casa_mon_mib",ATQIFM,"OCB CSD CSS-SHC EGY L1 SagemC",ATQIMU,"OCB CSD CIS-SHC POL L2 NGP SYS","Jul 5 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0601.json","/tmp/mib_ingest/mib_ingest-20260706_0601.json","Jul 6 2026 @ 08:45:40.762","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 11:00:05.604","chandra.ratra@orange.com","chandra.ratra@orange.com","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,"Cesson_Default","Cloud Avenue","SHARED CLOUD"
"Jul 6 2026 @ 09:01:12.507",wngENp8BJZ6TYHmtPkom,"-","mib_ingest-2026.07.06","-",DF004WZW3D,DF004WZW3D,VQEVSAMUSENN08,Equipment,Operational,DO000WR5E4,"SAMU-MOS-NICE-PPROD",679211,"ORANGE APPLICATIONS FOR BUSINESS","Status OK in CMDB",OK,"casa_mon_mib","casa_mon_mib",ATQGIS,"COCKPIT SECURISE",ATQIHF,"OCB CSD CIS-PHCI FRA L2 FR","Jul 5 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0601.json","/tmp/mib_ingest/mib_ingest-20260706_0601.json","Jul 6 2026 @ 08:59:32.731","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 11:00:05.604","mickael.davenne@orange.com","mickael.davenne@orange.com","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,"uhp_rue","Private Cloud","PRIVATE AND HYBRID CLOUD INFRASTRUCTURE"
"Jul 6 2026 @ 09:01:12.507",w3gENp8BJZ6TYHmtPkoq,"-","mib_ingest-2026.07.06","-",DF004WCY33,DF004WCY33,"fw-HEINEKEN-LAE-INET",Equipment,"Installation in progress",DO001XT2C2,"MFWFN-[customer_name]-[location]-[function]",680918,"HEINEKEN INTERNATIONAL BV","Events from this asset will be not shown to L1 Team due to his status in CMDB (Installation in progress), you should review it",WARNING,"casa_mon_mib","casa_mon_mib",ATQPSM,"ESC OPS SD L1 Proactive Security Monitoring",ATQIS2,"ESC OPS Sec L2 Supp DSOC HKN","Jul 5 2026 @ 03:00:00.000","/tmp/mib_ingest/mib_ingest-20260706_0601.json","/tmp/mib_ingest/mib_ingest-20260706_0601.json","Jul 6 2026 @ 08:40:07.618","Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2","Jul 6 2026 @ 11:00:05.604",system,system,"Zabbix_CASA_01","Zabbix_CASA_01","Zabbix_CASA_V2","Zabbix_CASA_V2",true,Internet,"MFW Fortinet NG",SECURITY
